pollutant,case_type,time_window,target_mean_abs,target_std,target_p90_p10,DIP_L1,KRG_L1,IDW_L1,gap_l1_dip_minus_krg,DIP_MSE,KRG_MSE,gap_mse_dip_minus_krg
METRAQ_NO2_ALL_HOURS_AUTOENCODER,best_l1_vs_krg,2024-02-13 14:00:00,32.55,15.996008777618409,32.439996528625485,8.343240904808045,10.636346101760864,7.777135848999023,-2.2931051969528196,116.61407518386841,166.99088973999022,-50.37681455612183
METRAQ_NO2_ALL_HOURS_AUTOENCODER,best_l1_vs_krg,2024-01-11 20:00:00,34.125,12.662950468063354,25.049998092651368,8.91937551498413,10.40920295715332,9.24555926322937,-1.4898274421691895,113.53906745910645,160.68831558227538,-47.149248123168945
METRAQ_NO2_ALL_HOURS_AUTOENCODER,best_l1_vs_krg,2024-04-19 07:00:00,28.15,7.486222243309021,15.159998321533203,7.290214776992798,8.651479530334473,8.581980800628662,-1.361264753341675,109.33717832565307,101.70305557250977,7.634122753143311
METRAQ_NO2_ALL_HOURS_AUTOENCODER,best_l1_vs_krg,2024-12-25 07:00:00,16.875,11.546422243118286,21.26999702453613,6.884578847885132,8.148190832138061,6.943429279327392,-1.2636119842529296,83.65338258743286,100.55195465087891,-16.89857206344605
METRAQ_NO2_ALL_HOURS_AUTOENCODER,best_l1_vs_krg,2024-07-09 06:00:00,24.95,8.053438568115235,15.939998245239257,6.868212270736694,8.055308818817139,8.85237979888916,-1.1870965480804443,107.8074951171875,132.94652633666993,-25.139031219482423
METRAQ_NO2_ALL_HOURS_AUTOENCODER,worst_l1_vs_krg,2024-11-25 19:00:00,40.35,13.752688884735107,27.879996299743652,14.841977310180663,12.473701858520508,12.486558675765991,2.368275451660156,348.0305633544922,271.916764831543,76.11379852294921
METRAQ_NO2_ALL_HOURS_AUTOENCODER,worst_l1_vs_krg,2024-12-23 19:00:00,35.425,13.509237575531007,27.689996910095214,13.316304445266724,11.727140951156617,12.319046831130981,1.5891634941101072,301.06750373840333,234.19618225097656,66.87132148742675
METRAQ_NO2_ALL_HOURS_AUTOENCODER,worst_l1_vs_krg,2024-02-18 07:00:00,26.475,10.028949165344239,20.729998207092287,10.723149824142457,9.191050577163697,9.55996470451355,1.5320992469787604,147.52082138061525,122.74974708557129,24.771074295043945
METRAQ_NO2_ALL_HOURS_AUTOENCODER,worst_l1_vs_krg,2024-07-17 08:00:00,41.98333320617676,14.494332408905029,29.079997634887697,14.859777307510376,13.393178939819336,14.1192551612854,1.4665983676910397,309.57977600097655,258.62152366638185,50.95825233459474
METRAQ_NO2_ALL_HOURS_AUTOENCODER,worst_l1_vs_krg,2024-02-20 17:00:00,26.55,7.710359025001526,15.999999046325684,7.989473295211792,6.636442041397094,7.727711629867554,1.3530312538146974,89.11005477905273,70.1787181854248,18.931336593627933
