pollutant,root,time_window,sensor_group,DIP_L1,KRG_L1,IDW_L1,DIP_MSE,KRG_MSE,IDW_MSE,target_mean_abs,target_max,target_std,target_p90_p10,gap_l1_dip_minus_krg,gap_mse_dip_minus_krg
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-04 10:00:00,28079024-28079027-28079054-28079058,15.440834999084473,13.554222106933594,14.157901763916016,264.91357421875,209.96112060546875,220.5625915527344,30.625,50.0,13.7630615234375,29.249998092651367,1.886612892150879,54.95245361328125
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-05 19:00:00,28079024-28079027-28079054-28079058,11.267096519470217,10.892915725708008,9.643896102905272,174.33334350585938,158.9799041748047,156.74940490722656,13.75,28.0,8.347904205322266,15.299997329711914,0.3741807937622088,15.353439331054688
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-06 08:00:00,28079024-28079027-28079054-28079058,12.205096244812012,15.883360862731934,13.051040649414062,173.36727905273438,328.29901123046875,201.74188232421875,24.5,59.0,22.164159774780273,45.99999237060547,-3.678264617919922,-154.93173217773438
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-07 07:00:00,28079024-28079027-28079054-28079058,17.94522476196289,21.023860931396484,20.516826629638672,385.5291137695313,470.3123168945313,445.1546325683594,33.5,60.0,21.971572875976562,46.599998474121094,-3.0786361694335938,-84.783203125
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-08 09:00:00,28079024-28079027-28079054-28079058,33.00386047363281,35.06049346923828,38.56999969482422,1831.2939453125,1568.8387451171875,1959.166259765625,54.75,95.0,32.7900505065918,68.69999694824219,-2.0566329956054688,262.4552001953125
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-09 15:00:00,28079024-28079027-28079054-28079058,13.025343894958496,10.48130989074707,6.862797260284424,193.2006072998047,142.6385955810547,59.92242050170898,31.25,51.0,11.94518756866455,23.499996185302734,2.544034004211426,50.56201171875
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-10 08:00:00,28079024-28079027-28079054-28079058,16.6138916015625,15.48318099975586,17.877750396728516,395.2871398925781,390.3792724609375,437.4812316894531,47.0,63.0,15.508062362670898,31.39999771118164,1.1307106018066406,4.907867431640625
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-10 17:00:00,28079024-28079027-28079054-28079058,12.948111534118652,13.289717674255373,12.61347770690918,212.96368408203125,251.4579162597656,229.48776245117188,22.5,39.0,13.275918006896973,27.999998092651367,-0.3416061401367205,-38.49423217773435
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-11 16:00:00,28079024-28079027-28079054-28079058,5.820281982421875,2.4032986164093018,3.671160697937012,62.05657577514648,11.894954681396484,34.52918243408203,18.75,22.0,5.068283557891846,8.69999885559082,3.4169833660125732,50.16162109374999
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-11 20:00:00,28079024-28079027-28079054-28079058,7.020675659179688,19.54094886779785,16.666807174682617,56.56068420410156,419.07818603515625,313.0704345703125,28.5,65.0,21.383405685424805,39.199989318847656,-12.520273208618164,-362.5175018310547
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-12 12:00:00,28079024-28079027-28079054-28079058,10.004680633544922,7.624575138092041,7.932449340820312,128.98672485351562,105.79920196533205,91.91941833496094,22.41666603088379,29.0,9.549214363098145,16.899999618530273,2.380105495452881,23.18752288818358
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-13 09:00:00,28079024-28079027-28079054-28079058,20.367584228515625,16.778114318847656,18.245437622070312,592.763916015625,340.3895263671875,413.0134887695313,30.75,51.0,15.75396728515625,33.5,3.5894699096679688,252.3743896484375
METRAQ_NO2_LAST_HOUR_AUTOENCODER,output\experiments\basic\single_channel_supervision_NO2,2024-01-13 12:00:00,28079024-28079027-28079054-28079058,16.4339599609375,7.89030647277832,11.36046314239502,326.9298400878906,107.32774353027344,166.88294982910156,42.25,49.0,8.317902565002441,14.699996948242188,8.54365348815918,219.6020965576172
